court,NOUN,NN,2
refuses,VERB,VBZ,1
lift,VERB,VB,-1
deadline,NOUN,NN,2
Kotak,PROPN,NNP,0
Mahindra,PROPN,NNP,0
stake,NOUN,NN,1
dilution,NOUN,NN,2
Bank,PROPN,NNP,0
surges,VERB,VBZ,-2
report,NOUN,NN,1
Berkshire,ADJ,JJ,0
investment,NOUN,NN,-1
jumps,VERB,VBZ,-2
Berkshire,PROPN,NNP,0
challenges,VERB,VBZ,2
RBI,PROPN,NNP,1
preference,NOUN,NN,1
shares,NOUN,NNS,0
best,ADJ,JJS,-1
nearly,ADV,RB,1
9,NUM,CD,0
High,PROPN,NNP,1
Court,PROPN,NNP,1
Deals,NOUN,NNS,1
Mergers,PROPN,NNPS,2
acquisitions,NOUN,NNS,2
Expert,ADJ,JJ,1
Views,NOUN,NNS,0
surprise,NOUN,NN,1
Governor,PROPN,NNP,1
Urjit,PROPN,NNP,1
Patel,PROPN,NNP,1
rise,VERB,VBP,-2
rise;,VERB,VBP,-2
